Action,Adventure,Animation &amp; Modeling,Audio Production,Casual,Design &amp; Illustration,Early Access,Education,Free to Play,Indie,Massively Multiplayer,Photo Editing,RPG,Racing,Simulation,Software Training,Sports,Strategy,Utilities,Video Production,Web Publishing,app_name,id
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,Lost Summoner Kitty,761140
0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,Ironbound,643980
0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,Real Pool 3D - Poolians,670290
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,弹炸人2222,767400
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Battle Royale Trainer,772540
0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,SNOW - All Access Basic Pass,774276
0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,SNOW - All Access Pro Pass,774277
0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,SNOW - All Access Legend Pass,774278
1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,770380
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Beach Rules,768880
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Planetarium 2 - Zen Odyssey,765320
0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,The first thrust of God,773650
0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,SNOW - Starter Pack,774271
0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,The first thrust of God - All Aircrafts,773690
0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,SNOW - Lifetime Pack,774279
1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,The Warrior Of Treasures,768060
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,RC Plane 3 - Canyon Scenario,775880
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,RC Plane 3 - F-53B,775881
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,DinoBlaster,653960
1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Carmageddon Max Pack,282010
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Half-Life,70
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Fallen Mage,752360
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Vaporwave Simulator,766850
1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Underdone - Soundtrack,754360
0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Bitcoin Clicker,716110
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Disciples II: Gallean's Return,1640
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Disciples II: Rise of the Elves,1630
1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,The Ship: Murder Party,2400
0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Idle Adventure,714020
1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Souland,759920
1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,TAROTICA VOO DOO,603280
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Chronicles of Vinland,753110
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Orbitality,753100
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Atomic Adam: Episode 1,764280
0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Mirt. Tales of the Cold Land. Chapter 2,758550
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Advent Rising,3800
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,DEFCON,1520
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,The Ship: Single Player,2420
1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Garry's Mod,4000
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,RACE - The WTCC Game,4230
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Zen of Sudoku,4900
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Gumboy - Crazy Adventures™,2520
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Ghost Master®,6200
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Vegas: Make It Big™,6210
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Dreamfall: The Longest Journey,6300
1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,FlatOut 2™,2990
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,FlatOut,6220
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lost Planet™: Extreme Condition,6510
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,CivCity: Rome,3980
1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Arx Fatalis,1700
1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,The Longest Journey,6310
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Civilization IV®: Warlords,3990
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Railroad Tycoon 3,7610
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Sid Meier's Railroads!,7600
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Railroad Tycoon II Platinum,7620
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,RIP - Trilogy™,2540
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,X-COM: Terror From the Deep,7650
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tomb Raider: Anniversary,8000
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Devil May Cry® 3 Special Edition,6550
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sam & Max 101: Culture Shock,8200
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Final DOOM,2290
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sam & Max 102: Situation: Comedy,8210
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ultimate Doom,2280
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Master Levels for Doom II,9160
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOOM II,2300
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wolfenstein 3D,2270
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Return to Castle Wolfenstein,9010
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUAKE Mission Pack 1: Scourge of Armagon,9040
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Spear of Destiny,9000
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BloodRayne,3810
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUAKE Mission Pack 2: Dissolution of Eternity,9030
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUAKE,2310
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Genesis Rising,3230
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Warhammer® 40,000: Dawn of War® – Winter Assault",9310
1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,BioShock™,7670
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",4570
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Warhammer® 40,000: Dawn of War® - Dark Crusade",4580
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Rome: Total War™ - Collection,4760
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Rome: Total War™ - Alexander,4770
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mystery Case Files: Madame Fate®,50970
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Grand Theft Auto 2,12180
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manhunt,12130
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Midnight Club 2,12160
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Max Payne 2: The Fall of Max Payne,12150
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tomb Raider: Legend,7000
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Max Payne,12140
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Command & Conquer: Red Alert 3,17480
0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,PuzzleQuest: Challenge of the Warlords,12500
0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Culpa Innata,12310
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Prison Tycoon 3™: Lockdown,12510
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Hunting Unlimited™ 2008,12530
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,18 Wheels of Steel: American Long Haul,12520
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Conflict: Denied Ops,8100
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,ARMA: Combat Operations,2780
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Tycoon City: New York,9730
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Desperados 2: Cooper's Revenge,9710
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Death to Spies,9800
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Act of War: High Treason,9760
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,RollerCoaster Tycoon® 3: Platinum,2700
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Act of War: Direct Action,2710
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unreal 2: The Awakening,13200
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unreal Gold,13250
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Ninja Reflex: Steamworks Edition,13000
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tom Clancy's Splinter Cell®,13560
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Far Cry®,13520
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unreal Tournament: Game of the Year Edition,13240
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tom Clancy's Rainbow Six® Vegas,13540
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Silent Hunter® III,15210
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Virtual Villagers - The Secret City,16180
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mystery P.I.™ - The Vegas Heist,3520
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Luxor,15970
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Reaxxion,15950
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Little Farm,15960
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7 Wonders II,15900
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Luxor Amun Rising,15910
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Luxor 3,15930
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Petz® Horsez® 2,15160
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Luxor 2,15920
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rayman Raving Rabbids™,15080
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Silent Hunter®: Wolves of the Pacific,15200
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,IL-2 Sturmovik: 1946,15320
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Silent Hunter®: Wolves of the Pacific U-Boat Missions,15240
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bone: Out From Boneville,8310
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Midnight Outlaw: 6 Hours to SunUp,12600
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bone: The Great Cow Race,8320
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Sprint Cars Road to Knoxville,12590
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dr. Daisy Pet Vet,12580
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Ride! Carnival Tycoon,12560
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hot Dish,12570
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mahjongg Investigations: Under Suspicion,12540
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dracula Origin,11050
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Sherlock Holmes - Nemesis,11040
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Eternity's Child,19500
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Pacific Storm Allies,11260
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Tank Universal,19200
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,FlatOut: Ultimate Carnage,12360
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oddworld: Abe's Exoddus®,15710
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oddworld: Abe's Oddysee®,15700
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,GTR Evolution Expansion Pack for RACE 07,8660
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,X-COM: Enforcer,7770
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,X-COM: Apocalypse,7660
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,X-COM: UFO Defense,7760
1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,S.T.A.L.K.E.R.: Clear Sky,20510
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Crysis Warhead®,17330
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Crysis,17300
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,X-COM: Interceptor,7730
1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,The Witcher: Enhanced Edition Director's Cut,20900
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Multiwinia,1530
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,STCC - The Game 1 - Expansion Pack for RACE 07,8690
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Children of the Nile: Alexandria,17120
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Sid Meier's Civilization IV: Colonization,16810
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Tom Clancy's Rainbow Six® 3 Gold,19830
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LEGO Batman,21000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,City Life 2008,4460
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Hinterland,17140
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Brothers in Arms: Hell's Highway™,15390
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Gravitron 2,21300
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Xpand Rally Xtreme,3050
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Heroes of Might & Magic V: Hammers of Fate,15380
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Brothers in Arms: Earned in Blood™,19800
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Heroes of Might & Magic V: Tribes of the East,15370
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,The Settlers®: Rise Of An Empire Gold Edition,19930
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brain Spa,15350
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The Sum of All Fears,19810
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Peggle™ Nights,3540
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,World of Goo,22000
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,X3: Terran Conflict,2820
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Mare Nostrum,1230
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Spectraball,18300
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Galactic Bowling,20200
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Bully: Scholarship Edition,12200
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Far Cry® 2: Fortune's Edition,19900
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Space Trader: Merchant Marine,11240
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,PRR Wagon Pack 01,256522
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Class 421 London South East ""Jaffa Cake""",275144
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,ATSF Wagon Pack 01,256521
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,GP20 Union Pacific Add-on Livery,222569
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,UK Van Wagon Pack,256535
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,CSX SD70MAC Add-on Livery,256611
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,CSX ES44AC Add-on Livery,256576
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Saints Row 2,9480
1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Dead Space,17470
1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Rise of the Argonauts,12770
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mirror's Edge™,17410
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Defense Grid: The Awakening,18500
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F.E.A.R. 2: Project Origin,16450
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Harvest: Massive Encounter,15400
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Mayhem Intergalactic,18600
1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Larva Mortus,11340
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Knights of Honor,25830
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Ceville,23460
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Empire: Total War™ - Special Forces Units & Bonus Content,10600
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Watchmen: The End is Nigh,21010
1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Penumbra Overture,22180
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unreal Tournament 3 Black,13210
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Drakensang,12640
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,The Graveyard,27020
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,Burnout Paradise: The Ultimate Box,24740
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Zombie Master,90047
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,The Maw,26000
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,The Maw: River Redirect,26006
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,The Maw: Brute Force,26005
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Obulis,11330
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Space Giraffe,27800
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Codename: Panzers - Cold War,9850
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Escape Rosecliff Island,3600
