user_id,items_count,price,porcentaje_recomendaciones_true
--000--,58,332.83,100.0
--ace--,44,122.86,100.0
--ionex--,23,69.94999999999999,100.0
-2SV-vuLB-Kg,68,340.55,100.0
-404PageNotFound-,149,917.5699999999999,
-AnimeIsMyThing-,127,847.54,
-Azsael-,167,1369.22,100.0
-Beave-,47,54.95,100.0
-Encore-,24,237.81,
-GM-Dragon,106,622.61,50.0
-I_AM_EPIC-,20,109.95,100.0
-JT,26,189.89,
-Kenny,118,1386.23,100.0
-KillZone-,114,647.54,
-Mad-,367,2541.92,100.0
-Naughty-,62,300.83,
-PRoSlayeR-,529,1583.08,50.0
-SEVEN-,394,2060.22,77.77777777777779
-SatansLittleHelper-,28,117.91,100.0
-Thyme-,43,422.74,100.0
-Ultrix,131,800.31,100.0
-Uplink-,123,939.43,
-Zovix-,51,214.88,100.0
-_PussyDestroyer_-,51,310.71999999999997,60.0
-_skIzZ_-,40,164.91,
-fastrvrs-,18,34.980000000000004,
-iBubble,15,127.88,
-kainey9777,69,605.6899999999999,100.0
-xKyox-,49,135.9,
0-3-0,139,981.3199999999999,100.0
00000000000000000001227,93,855.42,100.0
00000003010,59,253.77,
0000FF,25,109.93,
000Infinity000,30,0.0,
001000111000111000010,71,476.58,100.0
001002130882,3,14.99,
001010001,48,210.85,
0041287,34,124.92999999999999,
00454211432342,24,122.89,50.0
005577,231,2197.61,
00690069006900,102,578.52,100.0
0071945,373,2937.94,
007james_bond,178,1035.3,
007thesilence,49,396.77,
00810cccyyykkk,7,19.98,100.0
008port,71,338.72,
0099654321891111,23,143.88,100.0
00True,28,225.88,100.0
00nana,9,29.979999999999997,
01001000-01101001,88,784.51,100.0
010195345,2,0.0,
0102705195,3,0.0,
010607,28,195.82,
011000100001000111,76,443.75,
011011010111001000101110,26,71.9,100.0
011111135489484797,5,29.979999999999997,100.0
01120477677,29,136.91,
0112937783,31,219.87,
01189958889189157253,159,1345.05,83.33333333333334
0118999881999119,139,1070.07,
01221733,125,257.76,100.0
0136849195,62,108.93,100.0
01398279857934,11,14.99,
018302,42,327.76,
01shan,5,24.98,100.0
0212030,7,34.98,
022899,80,753.61,100.0
0248359,10,113.94999999999999,
025652,3,0.0,
0271975108,62,489.78,
0305089,97,509.62,
03092002,24,215.91,100.0
03375616256,2,9.99,
0402593613,6,9.99,
04061993,214,617.63,100.0
04092013,128,377.22,100.0
041112016,98,1108.3899999999999,
0412734634,20,44.97,100.0
0412827540,27,109.92999999999999,
042153100,118,1022.48,50.0
0421874858,31,262.84000000000003,
04280122,113,814.55,100.0
0432-026-no,14,59.94,100.0
04536829290339393838,28,120.89999999999999,
0468313256,86,89.89,100.0
0488456,22,214.88,
05041129,35,217.82,66.66666666666666
05461025,53,445.67,100.0
05511301,159,1035.07,
05zhehan,16,29.979999999999997,
066600,72,372.82,
0700464574757,48,303.77,100.0
07846813956825,92,656.55,0.0
0814551,48,171.89,
0827777,11,0.99,
0854029092,5,19.99,100.0
0862770364,23,125.95,
0896398616,184,699.9,100.0
0898786879898,7,54.97,
08alross,313,2975.16,
0903512455,41,167.87,100.0
09106,176,937.26,100.0
091263,369,1933.59,100.0
092982943,28,74.94,
0935659130,59,396.8,
094553552,89,408.75,100.0
095732,30,119.91,66.66666666666666
095843067,239,1717.1,100.0
098765432108642,12,139.93,
09876543231,25,145.88,100.0
098766catdogbnmnnn,42,135.89999999999998,100.0
09895749373554,33,260.79,
0996633,56,484.74,
0FI3MWAJS2849023N,36,266.84,
0fficiaIfIaw,23,38.97,
0nlyb0nes,22,84.96,
0rangeZ3r0,29,88.91,
0x0B00B135,59,285.71999999999997,
0x426F,149,1180.15,
1-800-Invisible,536,4005.22,
10000000thVisitor,106,911.34,100.0
1000000sdsd,22,34.98,
100011101011,31,307.86,
1000jaus,50,440.71999999999997,
1001101001110101,286,2341.24,0.0
100355,50,344.73,
10051997,130,765.48,100.0
10101010101010109,307,2468.71,100.0
101010101111,42,215.87,100.0
101010102,8,50.94,
1010102,45,188.88,
101013483181348,7,14.99,
1010231464,9,44.97,
1011001,128,902.33,90.0
1011010101101101010101,52,345.7,
1011012001,14,49.96,
101316,21,169.87,
1016523030,6,0.0,100.0
101676057,29,214.9,
10197226,36,251.75,100.0
101thegreenguy,98,968.78,
102547508,13,0.0,
102598615,45,121.89,100.0
1032165460,7,49.96,
